pair_id,nct_id,pmid,registered_endpoint,published_endpoint,gold_switch_type,gold_direction,notes
NCT01105312_26774555,NCT01105312,26774555,Maximum-tolerated Dose (Phase I) [Time Frame: Up to 2.5 months] | Response Rate (Phase II) [Time Frame: from baseline up to 5 years post-registration],"A total of 12 patients (6 at each dose level) were enrolled, and 43 cycles of treatment were given. Of the 6 patients at dose level 1, 1 experienced dose-limiting toxicity (20-mg dose level; an increase in creatinine). At the 30-mg dose level, 3 of 6 patients experienced dose-limiting toxicity, 1 each of grade 3 thrombocytopenia with bleeding, grade 4 thrombocytopenia, and grade 3 diarrhea. The maximum tolerated dose was 20 mg. Of the 12 patients, 2 experienced a partial response, and 5 had stable disease. The most common severe adverse event was thrombocytopenia, occurring in 4 of 12 patients.",concordant,none,"Phase I/II: MTD and response rate both registered primaries, both reported."
NCT00696072_31667338,NCT00696072,31667338,"Number of Participants With Clinical Benefit (CBR) and Number of Participants With CBR Having a Disease Free Interval (DFI) Greater Than 2 Years - Evaluable Population [Time Frame: First dose of study drug to last dose plus 7 days, up to study completion (approximately 6 years)]",primary endpoint was clinical-benefit-rate (CBR; complete response + partial response + stable disease ≥6 months),concordant,none,"Publication states primary endpoint = clinical-benefit-rate (CBR), same construct as registered CBR."
NCT01806259_31800611,NCT01806259,31800611,Recurrence-free Survival [Time Frame: 5 years],"Between February 2013 and July 2015, 203 patients were assigned to ketorolac (n = 96) or placebo (n = 107). Baseline characteristics were similar between arms. Patients had a mean age of 55.7 (SD14) years. At two years, 83.1% of the patients were alive and disease free in the ketorolac vs. 89.7% in the placebo arm (HR: 1.23; 95%CI: 0.65-2.31) and, respectively, 96.8% vs. 98.1% were alive (HR: 1.09; 95%CI: 0.34-3.51).",minor_modification,timeframe_changed,Registered RFS at 5y; publication presents disease-free survival at 2y.
NCT00820222_25605838,NCT00820222,25605838,"Number of Participants With Central Nervous System (CNS) Metastases (as Assessed by Independent Review) as the Site of First Relapse [Time Frame: From randomization until disease progression, death, or discontinuation from the study (average of 10 months). Cut-off 11-Jun-2012]","The study was terminated early with 540 enrolled patients (271 received lapatinib-capecitabine, and 269 received trastuzumab-capecitabine). Incidence of CNS metastases as first site of relapse was 3% (eight of 251 patients) for lapatinib-capecitabine and 5% (12 of 250 patients) for trastuzumab-capecitabine (treatment differences, -1.6%; 95% CI, -2% to 5%; P = .360). PFS and OS were longer with trastuzumab-capecitabine versus lapatinib-capecitabine (hazard ratio [HR] for PFS, 1.30; 95% CI, 1.04 to 1.64; HR for OS, 1.34; 95% CI, 0.95 to 1.64). Serious adverse events were reported in 13% (34 of 269 patients) and 17% (45 of 267 patients) of patients in the lapatinib-capecitabine and trastuzumab-capecitabine arms, respectively.",concordant,none,CNS metastases as first site of relapse reported exactly as registered.
NCT03371017_38755096,NCT03371017,38755096,Overall Survival (OS) in PD-L1-positive Population [Time Frame: Time from randomization to death (Up to 68 months)] | OS in Modified Intent-to-treat (mITT) Population [Time Frame: Time from randomization to death (Up to 68 months)],"Among 354 patients with rapidly relapsing PD-L1-positive aTNBC, 68% had a disease-free interval of <6 months and 73% received carboplatin/gemcitabine. The OS hazard ratio was 0.93 (95% confidence interval 0.73-1.20, P = 0.59; median 11.2 months with placebo versus 12.1 months with atezolizumab). mITT and subgroup results were consistent. Median PFS was 4 months across treatment arms and populations. ORRs were 28% with placebo versus 40% with atezolizumab. Adverse events (predominantly haematological) were similar between arms and as expected with atezolizumab plus carboplatin/gemcitabine or capecitabine following recent chemotherapy exposure.",concordant,none,OS in PD-L1+ and mITT populations reported as registered.
NCT02177175_37256614,NCT02177175,37256614,Maximum Change in LVEF at 3 Months [Time Frame: 3 months] | Maximum Change in LVEF at 6 Months [Time Frame: 6 months] | Maximum Change in LVEF at 9 Months [Time Frame: 9 months] | Maximum Change in LVEF at 12 Months [Time Frame: 12 months],"Of 71 patients included in this study, median (IQR) age was 50 (44-58) years, all were treated with dose-dense doxorubicin, and 48 patients underwent breast radiotherapy. Ten of 71 patients (14%) in this analysis developed CTRCD. The level of cardiomyocyte cfDNA at the post-anthracycline time point was higher in patients who subsequently developed CTRCD (median, 30.5 copies/mL; IQR, 24-46) than those who did not (median, 7 copies/mL; IQR, 2-22; P = .004). Higher cardiomyocyte cfDNA level after completion of anthracycline chemotherapy was associated with risk of CTRCD (hazard ratio, 1.02 per 1-copy/mL increase; 95% CI, 1.00-1.03; P = .046).",moderate_switch,endpoint_replaced,Registered max LVEF change; publication reports cfDNA biomarker predicting CTRCD; registered primary not the focus.
NCT03853707_37023705,NCT03853707,37023705,Progression-free Survival (PFS) [Time Frame: Up to 36 months],"RP2D for Arm A (n = 10) was ipatasertib 300 mg daily, carboplatin AUC2, and paclitaxel 80 mg m-2 days 1, 8, and 15 every 28 days. RP2D for Arm B (n = 12) was ipatasertib 400 mg daily and carboplatin AUC2 days 1, 8, and 15 every 28 days. RP2D for Arm C (n = 6) was likely ipatasertib 300 mg 21 days on 7 days off, capecitabine 750 mg m-2, twice a day, 7 days on 7 days off, and atezolizumab 840 mg days 1 and 15 every 28 days. The most common (≥10%) grade 3-4 AEs at RP2D for Arm A (N = 7 at RP2D) were neutropenia (29%), diarrhea (14%), oral mucositis (14%), and neuropathy (14%); Arm B had diarrhea (17%) and lymphopenia (25%); and Arm C had anemia, fatigue, cognitive disturbance, and maculopapular rash (17% each). Overall responses at RP2D were 29% Arm A, 25% Arm B, and 33% Arm C. PFS was 4.8, 3.9, and 8.2 months for patients on Arms A, B, and C, respectively.",moderate_switch,endpoint_replaced,"Registered PFS; dose-finding paper reports RP2D + AEs, PFS not shown in the primary-endpoint text."
NCT01441596_26596672,NCT01441596,26596672,Patient Benefit Rate at 12 Weeks [Time Frame: 12 weeks from randomisation],"Between Dec 22, 2011, and Feb 12, 2013, we screened 132 patients, of whom 121 were eligible and randomly assigned to treatment: 40 to afatinib alone, 38 to afatinib plus vinorelbine, and 43 to investigator's choice. All patients discontinued study treatment before the data collection cutoff on Oct 16, 2014. Patient benefit was achieved in 12 (30·0%; 95% CI 16·6-46·5) patients given afatinib alone (difference vs investigator's choice: -11·9% [95% CI -32·9 to 9·7], p=0·37), 13 (34·2%; 19·6-51·4) given afatinib plus vinorelbine (difference vs investigator's choice: -7·6% [-28·9 to 14·2], p=0·63), and 18 (41·9%; 27·0-57·9) given investigator's choice. The most common treatment-related grade 3 or 4 adverse events were diarrhoea (seven [18%] of 40 patients in the afatinib only group vs nine [24%] of 37 patients in the afatinib plus vinorelbine group vs two [5%] of 42 patients in the investigator's choice group) and neutropenia (none vs 14 [38%] vs four [10%]).",concordant,none,Patient benefit rate at 12 weeks reported as registered.
NCT04505826_40598566,NCT04505826,40598566,"Dose Limiting Toxicities (DLT) [Time Frame: Up to 28 days from start of treatment] | Characterize the Incidence of Treatment Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs) of OP-1250 That Had at Least One Treatment Emergent Adverse Event [Time Frame: Up to 3 years, 11 months, and 17 days.] | Pharmacokinetics of OP-1250 [Time Frame: AUC (0-24) at steady state after 4 weeks of administration] | Anti-tumor Activity of OP-1250 (cPR) [Time Frame: Imaging studies performed every 8 weeks from date of first dose through cycle 9 then afterwards every 12 weeks until date of first documented disease progression: assessed up to 3 years, 11 months, and 17 days]","This study enrolled 146 patients. No dose-limiting toxicities were observed at doses up to 300 mg/day palazestrant. Confirmed partial responses were observed with 60 and 120 mg/day palazestrant. Both doses showed similar and tolerable safety profiles, favorable pharmacokinetics, and steady-state plasma concentrations above the predicted threshold for complete ER inhibition. Greater clinical benefit at palazestrant 120 mg/day (46%) versus 60 mg/day (19%) led to selection of 120 mg/day as RP2D and study expansion dose. At 120 mg/day, the median progression-free survival was 4.8 months (95% CI, 3.5-7.1) overall and 5.6 months (95% CI, 4.8-NE) among patients with cancers with ESR1 mutations. Most treatment-emergent adverse events (TEAEs) were grade 1-2. The most common TEAEs were nausea (62.8%), vomiting (29.1%), and fatigue (25.6%). The most common grade ≥ 3 TEAE was transient neutropenia (10.5%) managed by dose interruption and reduction.",concordant,none,DLT and TEAE/SAE incidence reported as registered.
NCT00659373_27092785,NCT00659373,27092785,Change in Cognitive Function Over 1 Year in Premenopausal Breast Cancer Patients Who Receive Adjuvant Tamoxifen (T) Alone Against Those Receive Adjuvant Tamoxifen (T+OFS) or Exemestane (E+OFS) With Ovarian Function Suppression (OFS) [Time Frame: 1 year after patient randomization to parent IBCSG 24-02 study],"Of 86 participants, 74 underwent both T0 and T1 cognitive testing; 54 randomised to OFS+ either tamoxifen (28) or exemestane (26) and 20 randomised to tamoxifen alone. There was no significant difference in the changes in the composite cognitive function scores between the OFS+ tamoxifen or exemestane groups and the tamoxifen group (mean±s.d., -0.21±0.92 vs -0.04±0.49, respectively, P=0.71, effect size=-0.20), regardless of prior chemotherapy status, and adjusting for baseline characteristics.",concordant,none,Change in composite cognitive function over 1 year reported as registered.
