nct_id,snapshot_type,version,version_date,primary_outcomes,history_status,history_url
NCT00493649,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00493649?tab=history
NCT00493649,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00493649?tab=history
NCT00493649,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00493649?tab=history
NCT00493649,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00493649?tab=history
NCT00493649,current,current,,Disease-free Survival (DFS) Rate at 2 Years in TOP2A-amplified and in TOP2A-nonamplified HER2+ ESBC Patients Treated With TC+H. [Time Frame: 2 years],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00493649?tab=history
NCT01839838,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01839838?tab=history
NCT01839838,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01839838?tab=history
NCT01839838,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01839838?tab=history
NCT01839838,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01839838?tab=history
NCT01839838,current,current,,Feasibility and the Acute Toxicity Profile of Accelerated Partial Breast Radiation Using Protons [Time Frame: 2 years],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT01839838?tab=history
NCT03205761,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03205761?tab=history
NCT03205761,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03205761?tab=history
NCT03205761,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03205761?tab=history
NCT03205761,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03205761?tab=history
NCT03205761,current,current,,"Overall Response Rate (ORR) [Time Frame: Through study treatment, and average of 8 weeks]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03205761?tab=history
