scope,n_pairs,n_assessable,n_outcome_switch,switch_rate_pct,n_human_confirmed_switch,n_ai_only_switch_pending_review,n_results_driven,results_driven_fraction_of_switches,n_disclosed_exploratory,ai_human_agreement_pct
overall,309,309,256,82.8,0,256,255,0.996,1,
cluster:pathological_complete_response,37,37,29,78.4,0,29,29,1.0,1,
cluster:event_free_disease_free_survival,30,30,25,83.3,0,25,25,1.0,0,
cluster:overall_survival,30,30,24,80.0,0,24,24,1.0,0,
cluster:progression_free_survival,65,65,46,70.8,0,46,46,1.0,0,
cluster:objective_response_rate,58,58,52,89.7,0,52,52,1.0,0,
cluster:other_endpoints,89,89,80,89.9,0,80,79,0.988,0,
form:definition_changed,3,3,0,0.0,0,0,0,,0,
form:prespecified_omitted,100,100,100,100.0,0,100,100,1.0,0,
form:prespecified_outcome_omitted,3,3,3,100.0,0,3,3,1.0,0,
form:primary_demoted,6,6,6,100.0,0,6,6,1.0,1,
form:primary_omitted,72,72,72,100.0,0,72,72,1.0,0,
form:primary_replaced,67,67,67,100.0,0,67,67,1.0,0,
form:timeframe_changed,5,5,4,80.0,0,4,4,1.0,0,
form:timepoint_changed,4,4,0,0.0,0,0,0,,0,
